15.5457 	EXP 	Fixation_Cross: text = u'+'
15.5457 	EXP 	Fixation_Cross: autoDraw = True
15.5459 	EXP 	window1: recordFrameIntervals = False
16.0469 	EXP 	New trial (rep=3, index=3): {'Word': u'Password_3'}
16.0515 	EXP 	window1: recordFrameIntervals = False
16.0598 	EXP 	Fixation_Cross: autoDraw = False
16.0598 	EXP 	Fixation_Cross: text = u'+'
16.0598 	EXP 	Fixation_Cross: autoDraw = True
16.0599 	EXP 	window1: recordFrameIntervals = False
16.5596 	EXP 	New trial (rep=4, index=0): {'Word': u'Password_2'}
16.5638 	EXP 	window1: recordFrameIntervals = False
16.5705 	EXP 	Fixation_Cross: autoDraw = False
16.5705 	EXP 	Fixation_Cross: text = u'+'
16.5705 	EXP 	Fixation_Cross: autoDraw = True
16.5706 	EXP 	window1: recordFrameIntervals = False
17.0713 	EXP 	New trial (rep=4, index=1): {'Word': u'Password_1'}
17.0766 	EXP 	window1: recordFrameIntervals = False
17.0828 	EXP 	Fixation_Cross: autoDraw = False
17.0828 	EXP 	Fixation_Cross: text = u'+'
17.0828 	EXP 	Fixation_Cross: autoDraw = True
17.0830 	EXP 	window1: recordFrameIntervals = False
17.5849 	EXP 	New trial (rep=4, index=2): {'Word': u'Password_4'}
17.5893 	EXP 	window1: recordFrameIntervals = False
17.6003 	EXP 	Fixation_Cross: autoDraw = False
17.6003 	EXP 	Fixation_Cross: text = u'+'
17.6003 	EXP 	Fixation_Cross: autoDraw = True
17.6004 	EXP 	window1: recordFrameIntervals = False
18.0964 	EXP 	New trial (rep=4, index=3): {'Word': u'Password_3'}
18.1018 	EXP 	window1: recordFrameIntervals = False
18.1078 	EXP 	Fixation_Cross: autoDraw = False
18.1078 	EXP 	Fixation_Cross: text = u'+'
18.1078 	EXP 	Fixation_Cross: autoDraw = True
18.1079 	EXP 	window1: recordFrameIntervals = False
18.6209 	EXP 	window1: mouseVisible = True
