Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
Password_2,0,0,0,1,2016_May_03_2042,59.7849664678,TestEXP,001,S00,
Password_3,0,1,1,2,2016_May_03_2042,59.7849664678,TestEXP,001,S00,
Password_1,0,2,2,0,2016_May_03_2042,59.7849664678,TestEXP,001,S00,
Password_4,0,3,3,3,2016_May_03_2042,59.7849664678,TestEXP,001,S00,
