26.6758 	EXP 	window1: recordFrameIntervals = False
27.1812 	EXP 	Stim: autoDraw = False
27.1812 	EXP 	Fixation_Cross: autoDraw = True
28.1509 	EXP 	New trial (rep=2, index=3): {'Word': u'Password_2'}
28.1586 	EXP 	window1: recordFrameIntervals = False
28.1667 	EXP 	Fixation_Cross: autoDraw = False
28.1667 	EXP 	Stim: text = u'Password_2'
28.1667 	EXP 	Stim: autoDraw = True
28.1669 	EXP 	window1: recordFrameIntervals = False
28.6736 	EXP 	Stim: autoDraw = False
28.6736 	EXP 	Fixation_Cross: autoDraw = True
29.6588 	EXP 	New trial (rep=3, index=0): {'Word': u'Password_3'}
29.6657 	EXP 	window1: recordFrameIntervals = False
29.6746 	EXP 	Fixation_Cross: autoDraw = False
29.6746 	EXP 	Stim: text = u'Password_3'
29.6746 	EXP 	Stim: autoDraw = True
29.6747 	EXP 	window1: recordFrameIntervals = False
30.1806 	EXP 	Stim: autoDraw = False
30.1806 	EXP 	Fixation_Cross: autoDraw = True
31.1503 	EXP 	New trial (rep=3, index=1): {'Word': u'Password_2'}
31.1579 	EXP 	window1: recordFrameIntervals = False
31.1662 	EXP 	Fixation_Cross: autoDraw = False
31.1662 	EXP 	Stim: text = u'Password_2'
31.1662 	EXP 	Stim: autoDraw = True
31.1664 	EXP 	window1: recordFrameIntervals = False
31.6727 	EXP 	Stim: autoDraw = False
31.6727 	EXP 	Fixation_Cross: autoDraw = True
32.6582 	EXP 	New trial (rep=3, index=2): {'Word': u'Password_4'}
32.6687 	EXP 	window1: recordFrameIntervals = False
32.6764 	EXP 	Fixation_Cross: autoDraw = False
32.6764 	EXP 	Stim: text = u'Password_4'
32.6764 	EXP 	Stim: autoDraw = True
32.6766 	EXP 	window1: recordFrameIntervals = False
33.1825 	EXP 	Stim: autoDraw = False
33.1825 	EXP 	Fixation_Cross: autoDraw = True
34.1501 	EXP 	New trial (rep=3, index=3): {'Word': u'Password_1'}
34.1576 	EXP 	window1: recordFrameIntervals = False
34.1651 	EXP 	Fixation_Cross: autoDraw = False
34.1651 	EXP 	Stim: text = u'Password_1'
34.1651 	EXP 	Stim: autoDraw = True
34.1655 	EXP 	window1: recordFrameIntervals = False
34.6727 	EXP 	Stim: autoDraw = False
34.6727 	EXP 	Fixation_Cross: autoDraw = True
35.6577 	EXP 	New trial (rep=4, index=0): {'Word': u'Password_4'}
35.6670 	EXP 	window1: recordFrameIntervals = False
35.6744 	EXP 	Fixation_Cross: autoDraw = False
35.6744 	EXP 	Stim: text = u'Password_4'
35.6744 	EXP 	Stim: autoDraw = True
35.6746 	EXP 	window1: recordFrameIntervals = False
36.1811 	EXP 	Stim: autoDraw = False
36.1811 	EXP 	Fixation_Cross: autoDraw = True
37.1658 	EXP 	New trial (rep=4, index=1): {'Word': u'Password_1'}
37.1731 	EXP 	window1: recordFrameIntervals = False
37.1807 	EXP 	Fixation_Cross: autoDraw = False
37.1807 	EXP 	Stim: text = u'Password_1'
37.1807 	EXP 	Stim: autoDraw = True
37.1812 	EXP 	window1: recordFrameIntervals = False
37.6860 	EXP 	Stim: autoDraw = False
37.6860 	EXP 	Fixation_Cross: autoDraw = True
38.6571 	EXP 	New trial (rep=4, index=2): {'Word': u'Password_2'}
38.6663 	EXP 	window1: recordFrameIntervals = False
38.6739 	EXP 	Fixation_Cross: autoDraw = False
38.6739 	EXP 	Stim: text = u'Password_2'
38.6739 	EXP 	Stim: autoDraw = True
38.6740 	EXP 	window1: recordFrameIntervals = False
39.1812 	EXP 	Stim: autoDraw = False
39.1812 	EXP 	Fixation_Cross: autoDraw = True
40.1640 	EXP 	New trial (rep=4, index=3): {'Word': u'Password_3'}
40.1716 	EXP 	window1: recordFrameIntervals = False
40.1797 	EXP 	Fixation_Cross: autoDraw = False
40.1797 	EXP 	Stim: text = u'Password_3'
40.1797 	EXP 	Stim: autoDraw = True
40.1798 	EXP 	window1: recordFrameIntervals = False
40.6870 	EXP 	Stim: autoDraw = False
40.6870 	EXP 	Fixation_Cross: autoDraw = True
41.4230 	DATA 	Keypress: lalt
41.6851 	EXP 	window1: mouseVisible = True
