+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11310.228515625,8822.546875,-36400.3984375,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11316.6884765625,8815.974609375,-36413.98828125,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11318.6328125,8811.482421875,-36418.0546875,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11306.7412109375,8822.546875,-36383.3203125,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11303.544921875,8821.4287109375,-36380.68359375,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11310.6982421875,8809.91796875,-36381.265625,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11316.3974609375,8800.216796875,-36388.37109375,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11312.3515625,8811.4150390625,-36398.5625,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11307.658203125,8821.4736328125,-36409.73828125,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11312.8662109375,8815.505859375,-36410.61328125,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11321.0244140625,8806.3857421875,-36419.375,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11320.64453125,8805.7607421875,-36407.796875,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11311.123046875,8818.4111328125,-36372.8828125,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11320.48828125,8810.185546875,-36399.4375,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11330.3671875,8798.1162109375,-36418.45703125,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11323.5947265625,8805.89453125,-36399.12109375,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11315.056640625,8811.2587890625,-36388.73046875,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11323.4384765625,8808.3310546875,-36404.10546875,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11331.41796875,8803.79296875,-36411.34765625,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11330.4345703125,8806.0732421875,-36408.48828125,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11322.65625,8813.9853515625,-36396.8671875,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11325.0703125,8807.615234375,-36400.41796875,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11333.228515625,8798.2724609375,-36412.64453125,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11332.87109375,8794.3828125,-36412.22265625,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11326.0087890625,8798.0263671875,-36404.75390625,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11323.818359375,8798.1826171875,-36406.3203125,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11327.8642578125,8792.4609375,-36416.4921875,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11322.5888671875,8796.5068359375,-36413.2265625,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11315.615234375,8797.400390625,-36405.515625,-187500.015625
+,-187500.015625,-187500.015625,-187500.015625,-187500.015625,-11317.9619140625,8794.361328125,-36407.88671875,-187500.015625
